Task ID,Status,Category
1,success,Background Textures
3,success,Background Textures
2,success,Background Textures
0,fail,Background Textures
5,success,Background Textures
7,success,Background Textures
6,success,Background Textures
4,success,Background Textures
11,success,Background Textures
10,success,Background Textures
9,success,Background Textures
8,success,Background Textures
15,success,Background Textures
13,success,Background Textures
18,success,Background Textures
19,success,Background Textures
12,fail,Background Textures
22,success,Background Textures
23,success,Background Textures
17,fail,Background Textures
16,success,Background Textures
26,success,Background Textures
27,success,Background Textures
20,success,Background Textures
30,success,Background Textures
21,success,Background Textures
24,success,Background Textures
31,fail,Background Textures
34,fail,Background Textures
28,success,Background Textures
25,fail,Background Textures
35,success,Background Textures
29,success,Background Textures
39,success,Background Textures
38,success,Background Textures
32,fail,Background Textures
43,success,Background Textures
42,success,Background Textures
36,success,Background Textures
33,success,Background Textures
46,success,Background Textures
47,success,Background Textures
37,success,Background Textures
40,success,Background Textures
50,success,Background Textures
51,success,Background Textures
41,success,Background Textures
44,success,Background Textures
54,success,Background Textures
55,success,Background Textures
48,success,Background Textures
58,success,Background Textures
45,success,Background Textures
59,success,Background Textures
52,success,Background Textures
66,success,Background Textures
56,success,Background Textures
67,success,Background Textures
70,success,Background Textures
49,fail,Background Textures
60,success,Background Textures
74,success,Background Textures
75,fail,Background Textures
53,success,Background Textures
72,success,Background Textures
57,success,Background Textures
78,fail,Background Textures
76,success,Background Textures
79,fail,Background Textures
61,success,Background Textures
83,success,Background Textures
80,success,Background Textures
82,success,Background Textures
65,success,Background Textures
87,success,Background Textures
73,success,Background Textures
86,fail,Background Textures
84,fail,Background Textures
91,success,Background Textures
77,success,Background Textures
88,success,Background Textures
90,success,Background Textures
81,success,Background Textures
95,fail,Background Textures
94,success,Background Textures
92,success,Background Textures
99,success,Background Textures
96,success,Background Textures
85,fail,Background Textures
98,success,Background Textures
103,success,Background Textures
102,success,Background Textures
89,success,Background Textures
100,fail,Background Textures
107,success,Background Textures
106,success,Background Textures
93,fail,Background Textures
104,success,Background Textures
111,fail,Background Textures
97,success,Background Textures
110,success,Background Textures
108,fail,Background Textures
101,success,Background Textures
115,fail,Background Textures
114,fail,Background Textures
112,fail,Background Textures
105,success,Background Textures
119,fail,Background Textures
118,fail,Background Textures
109,success,Background Textures
116,success,Background Textures
122,success,Background Textures
123,fail,Background Textures
113,success,Background Textures
120,fail,Background Textures
126,fail,Background Textures
127,fail,Background Textures
117,success,Background Textures
124,fail,Background Textures
130,fail,Background Textures
131,fail,Background Textures
121,success,Background Textures
128,success,Background Textures
125,success,Background Textures
135,success,Background Textures
134,fail,Background Textures
132,success,Background Textures
138,success,Background Textures
147,success,Background Textures
136,success,Background Textures
129,success,Background Textures
142,success,Background Textures
151,success,Background Textures
140,success,Background Textures
146,success,Background Textures
133,success,Background Textures
144,success,Background Textures
155,success,Background Textures
150,success,Background Textures
137,success,Background Textures
148,success,Background Textures
154,success,Background Textures
159,success,Background Textures
145,success,Background Textures
156,success,Background Textures
158,success,Background Textures
163,success,Background Textures
149,success,Background Textures
160,success,Background Textures
167,success,Background Textures
153,success,Background Textures
164,success,Background Textures
162,fail,Background Textures
175,success,Background Textures
157,success,Background Textures
166,success,Background Textures
168,success,Background Textures
161,success,Background Textures
170,success,Background Textures
172,success,Background Textures
179,fail,Background Textures
165,success,Background Textures
174,success,Background Textures
183,success,Background Textures
176,success,Background Textures
169,success,Background Textures
178,success,Background Textures
187,success,Background Textures
180,success,Background Textures
173,success,Background Textures
182,success,Background Textures
191,success,Background Textures
184,success,Background Textures
177,success,Background Textures
186,success,Background Textures
195,success,Background Textures
199,success,Background Textures
190,success,Background Textures
188,success,Background Textures
181,fail,Background Textures
194,success,Background Textures
192,success,Background Textures
203,fail,Background Textures
198,success,Background Textures
196,success,Background Textures
185,fail,Background Textures
207,success,Background Textures
202,success,Background Textures
189,success,Background Textures
211,success,Background Textures
200,fail,Background Textures
206,fail,Background Textures
193,fail,Background Textures
215,fail,Background Textures
204,fail,Background Textures
197,success,Background Textures
210,fail,Background Textures
219,success,Background Textures
208,success,Background Textures
201,success,Background Textures
214,fail,Background Textures
223,fail,Background Textures
212,fail,Background Textures
205,fail,Background Textures
218,fail,Background Textures
227,fail,Background Textures
216,fail,Background Textures
209,fail,Background Textures
222,fail,Background Textures
231,fail,Background Textures
213,success,Background Textures
220,fail,Background Textures
226,success,Background Textures
224,success,Background Textures
217,fail,Background Textures
235,fail,Background Textures
228,success,Background Textures
230,fail,Background Textures
239,success,Background Textures
221,success,Background Textures
232,success,Background Textures
243,success,Background Textures
236,success,Background Textures
234,fail,Background Textures
225,fail,Background Textures
240,success,Background Textures
247,fail,Background Textures
229,success,Background Textures
238,fail,Background Textures
251,success,Background Textures
233,success,Background Textures
244,fail,Background Textures
255,success,Background Textures
248,success,Background Textures
242,fail,Background Textures
237,success,Background Textures
246,success,Background Textures
241,success,Background Textures
259,fail,Background Textures
252,fail,Background Textures
263,success,Background Textures
250,success,Background Textures
245,fail,Background Textures
267,success,Background Textures
256,success,Background Textures
254,success,Background Textures
249,success,Background Textures
258,success,Background Textures
271,fail,Background Textures
260,fail,Background Textures
253,success,Background Textures
262,success,Background Textures
264,success,Background Textures
266,success,Background Textures
275,fail,Background Textures
257,fail,Background Textures
270,success,Background Textures
268,fail,Background Textures
261,success,Background Textures
279,fail,Background Textures
272,success,Background Textures
274,fail,Background Textures
265,fail,Background Textures
278,success,Background Textures
283,fail,Background Textures
280,fail,Background Textures
282,success,Background Textures
269,fail,Background Textures
286,success,Background Textures
287,fail,Background Textures
273,success,Background Textures
292,success,Robot Initial States
290,success,Robot Initial States
277,success,Background Textures
291,success,Robot Initial States
296,success,Robot Initial States
281,success,Background Textures
294,success,Robot Initial States
295,fail,Robot Initial States
300,success,Robot Initial States
285,fail,Background Textures
298,fail,Robot Initial States
304,fail,Robot Initial States
299,fail,Robot Initial States
289,fail,Robot Initial States
308,success,Robot Initial States
302,fail,Robot Initial States
293,success,Robot Initial States
303,fail,Robot Initial States
312,fail,Robot Initial States
306,fail,Robot Initial States
297,success,Robot Initial States
307,fail,Robot Initial States
301,success,Robot Initial States
316,fail,Robot Initial States
310,fail,Robot Initial States
311,fail,Robot Initial States
305,fail,Robot Initial States
314,fail,Robot Initial States
320,fail,Robot Initial States
315,success,Robot Initial States
324,fail,Robot Initial States
318,fail,Robot Initial States
309,fail,Robot Initial States
319,fail,Robot Initial States
322,success,Robot Initial States
313,fail,Robot Initial States
323,fail,Robot Initial States
328,fail,Robot Initial States
332,success,Robot Initial States
326,fail,Robot Initial States
327,success,Robot Initial States
317,fail,Robot Initial States
331,success,Robot Initial States
330,success,Robot Initial States
336,success,Robot Initial States
321,fail,Robot Initial States
335,success,Robot Initial States
334,success,Robot Initial States
325,success,Robot Initial States
338,success,Robot Initial States
340,fail,Robot Initial States
339,fail,Robot Initial States
342,success,Robot Initial States
344,success,Robot Initial States
329,fail,Robot Initial States
343,fail,Robot Initial States
348,success,Robot Initial States
346,fail,Robot Initial States
333,fail,Robot Initial States
352,success,Robot Initial States
347,fail,Robot Initial States
350,fail,Robot Initial States
356,fail,Robot Initial States
337,fail,Robot Initial States
351,fail,Robot Initial States
354,fail,Robot Initial States
360,fail,Robot Initial States
341,fail,Robot Initial States
358,success,Robot Initial States
355,fail,Robot Initial States
364,success,Robot Initial States
362,success,Robot Initial States
359,success,Robot Initial States
345,fail,Robot Initial States
363,success,Robot Initial States
366,fail,Robot Initial States
368,fail,Robot Initial States
349,fail,Robot Initial States
367,success,Robot Initial States
370,success,Robot Initial States
372,success,Robot Initial States
371,success,Robot Initial States
353,fail,Robot Initial States
374,success,Robot Initial States
376,fail,Robot Initial States
375,success,Robot Initial States
378,success,Robot Initial States
357,success,Robot Initial States
380,success,Robot Initial States
382,success,Robot Initial States
365,success,Robot Initial States
379,fail,Robot Initial States
386,success,Robot Initial States
384,fail,Robot Initial States
383,success,Robot Initial States
369,success,Robot Initial States
390,success,Robot Initial States
388,success,Robot Initial States
387,success,Robot Initial States
373,success,Robot Initial States
392,success,Robot Initial States
394,fail,Robot Initial States
391,success,Robot Initial States
377,fail,Robot Initial States
396,success,Robot Initial States
398,success,Robot Initial States
395,success,Robot Initial States
381,success,Robot Initial States
402,fail,Robot Initial States
399,success,Robot Initial States
400,fail,Robot Initial States
385,fail,Robot Initial States
406,success,Robot Initial States
403,success,Robot Initial States
389,success,Robot Initial States
404,fail,Robot Initial States
410,success,Robot Initial States
393,success,Robot Initial States
408,success,Robot Initial States
407,fail,Robot Initial States
414,success,Robot Initial States
411,success,Robot Initial States
412,success,Robot Initial States
397,fail,Robot Initial States
422,success,Robot Initial States
415,success,Robot Initial States
416,success,Robot Initial States
419,success,Robot Initial States
426,success,Robot Initial States
401,fail,Robot Initial States
420,success,Robot Initial States
423,success,Robot Initial States
430,success,Robot Initial States
405,success,Robot Initial States
427,success,Robot Initial States
409,success,Robot Initial States
424,success,Robot Initial States
434,fail,Robot Initial States
428,success,Robot Initial States
413,success,Robot Initial States
437,fail,Robot Initial States
441,success,Robot Initial States
504,success,Robot Initial States
475,fail,Robot Initial States
510,fail,Robot Initial States
445,success,Robot Initial States
518,success,Robot Initial States
479,fail,Robot Initial States
508,fail,Robot Initial States
449,success,Robot Initial States
512,success,Robot Initial States
522,fail,Robot Initial States
483,fail,Robot Initial States
453,fail,Robot Initial States
526,fail,Robot Initial States
524,fail,Robot Initial States
487,fail,Robot Initial States
530,success,Robot Initial States
457,success,Robot Initial States
491,success,Robot Initial States
528,success,Robot Initial States
532,success,Robot Initial States
534,fail,Robot Initial States
461,fail,Robot Initial States
495,fail,Robot Initial States
536,success,Robot Initial States
499,success,Robot Initial States
465,success,Robot Initial States
538,fail,Robot Initial States
540,success,Robot Initial States
542,success,Robot Initial States
469,fail,Robot Initial States
507,fail,Robot Initial States
544,fail,Robot Initial States
546,success,Robot Initial States
511,success,Robot Initial States
473,success,Robot Initial States
548,success,Robot Initial States
552,success,Robot Initial States
550,success,Robot Initial States
515,fail,Robot Initial States
477,fail,Robot Initial States
556,success,Robot Initial States
554,fail,Robot Initial States
519,fail,Robot Initial States
481,fail,Robot Initial States
560,fail,Robot Initial States
558,fail,Robot Initial States
485,success,Robot Initial States
523,fail,Robot Initial States
562,fail,Robot Initial States
564,fail,Robot Initial States
527,success,Robot Initial States
489,fail,Robot Initial States
568,success,Robot Initial States
531,success,Robot Initial States
566,fail,Robot Initial States
493,fail,Robot Initial States
572,success,Robot Initial States
497,success,Robot Initial States
570,success,Robot Initial States
535,fail,Robot Initial States
501,success,Robot Initial States
576,fail,Robot Initial States
574,fail,Robot Initial States
539,fail,Robot Initial States
580,success,Robot Initial States
509,fail,Robot Initial States
513,success,Robot Initial States
578,fail,Robot Initial States
584,success,Robot Initial States
543,fail,Robot Initial States
517,fail,Robot Initial States
582,fail,Robot Initial States
547,fail,Robot Initial States
588,fail,Robot Initial States
521,fail,Robot Initial States
551,success,Robot Initial States
586,fail,Robot Initial States
592,fail,Robot Initial States
525,success,Robot Initial States
555,fail,Robot Initial States
590,fail,Robot Initial States
596,fail,Robot Initial States
529,fail,Robot Initial States
559,success,Robot Initial States
594,fail,Robot Initial States
563,success,Robot Initial States
600,fail,Robot Initial States
533,fail,Robot Initial States
537,success,Robot Initial States
567,success,Robot Initial States
598,fail,Robot Initial States
604,fail,Robot Initial States
541,fail,Robot Initial States
602,fail,Robot Initial States
571,fail,Robot Initial States
608,fail,Robot Initial States
545,fail,Robot Initial States
606,success,Robot Initial States
575,fail,Robot Initial States
612,fail,Robot Initial States
549,fail,Robot Initial States
579,fail,Robot Initial States
610,fail,Robot Initial States
616,success,Robot Initial States
553,fail,Robot Initial States
583,fail,Robot Initial States
614,fail,Robot Initial States
620,fail,Robot Initial States
587,success,Robot Initial States
557,fail,Robot Initial States
618,success,Robot Initial States
591,success,Robot Initial States
624,fail,Robot Initial States
561,fail,Robot Initial States
622,success,Robot Initial States
595,fail,Robot Initial States
565,fail,Robot Initial States
628,fail,Robot Initial States
626,fail,Robot Initial States
569,success,Robot Initial States
599,fail,Robot Initial States
632,success,Robot Initial States
573,success,Robot Initial States
630,fail,Robot Initial States
577,success,Robot Initial States
607,fail,Robot Initial States
636,fail,Robot Initial States
634,fail,Robot Initial States
640,success,Robot Initial States
581,fail,Robot Initial States
611,fail,Robot Initial States
585,success,Robot Initial States
638,success,Robot Initial States
644,fail,Robot Initial States
615,fail,Robot Initial States
589,fail,Robot Initial States
642,success,Robot Initial States
648,fail,Robot Initial States
619,fail,Robot Initial States
593,success,Robot Initial States
646,success,Robot Initial States
652,success,Robot Initial States
597,success,Robot Initial States
623,fail,Robot Initial States
650,fail,Robot Initial States
656,fail,Robot Initial States
601,fail,Robot Initial States
627,success,Robot Initial States
654,success,Robot Initial States
605,success,Robot Initial States
660,fail,Robot Initial States
658,fail,Robot Initial States
631,fail,Robot Initial States
609,success,Robot Initial States
664,fail,Robot Initial States
662,fail,Robot Initial States
635,fail,Robot Initial States
613,fail,Robot Initial States
668,fail,Robot Initial States
666,fail,Robot Initial States
639,fail,Robot Initial States
617,success,Robot Initial States
672,fail,Robot Initial States
670,fail,Robot Initial States
643,fail,Robot Initial States
621,fail,Robot Initial States
676,fail,Robot Initial States
647,success,Robot Initial States
674,fail,Robot Initial States
625,fail,Robot Initial States
680,fail,Robot Initial States
651,fail,Robot Initial States
678,fail,Robot Initial States
684,success,Camera Viewpoints
655,success,Robot Initial States
629,fail,Robot Initial States
682,success,Camera Viewpoints
688,success,Camera Viewpoints
659,fail,Robot Initial States
692,success,Camera Viewpoints
633,fail,Robot Initial States
686,success,Camera Viewpoints
696,success,Camera Viewpoints
663,fail,Robot Initial States
690,success,Camera Viewpoints
637,fail,Robot Initial States
700,success,Camera Viewpoints
694,success,Camera Viewpoints
667,fail,Robot Initial States
641,fail,Robot Initial States
704,success,Camera Viewpoints
698,success,Camera Viewpoints
671,fail,Robot Initial States
708,success,Camera Viewpoints
702,success,Camera Viewpoints
645,fail,Robot Initial States
712,success,Camera Viewpoints
706,success,Camera Viewpoints
675,fail,Robot Initial States
649,success,Robot Initial States
710,success,Camera Viewpoints
679,success,Robot Initial States
716,fail,Camera Viewpoints
653,fail,Robot Initial States
714,success,Camera Viewpoints
683,success,Camera Viewpoints
720,success,Camera Viewpoints
718,success,Camera Viewpoints
687,success,Camera Viewpoints
657,fail,Robot Initial States
724,success,Camera Viewpoints
691,success,Camera Viewpoints
