Task ID,Status,Category
1,success,Background Textures
4,success,Background Textures
15,success,Background Textures
14,success,Background Textures
0,success,Background Textures
9,success,Background Textures
12,success,Background Textures
23,success,Background Textures
22,success,Background Textures
8,success,Background Textures
17,success,Background Textures
20,success,Background Textures
31,success,Background Textures
30,success,Background Textures
16,success,Background Textures
25,success,Background Textures
28,success,Background Textures
39,success,Background Textures
38,success,Background Textures
33,success,Background Textures
36,success,Background Textures
24,fail,Background Textures
47,success,Background Textures
41,success,Background Textures
46,success,Background Textures
44,success,Background Textures
32,success,Background Textures
49,success,Background Textures
54,success,Background Textures
63,success,Background Textures
52,success,Background Textures
40,success,Background Textures
57,success,Background Textures
62,success,Background Textures
71,success,Background Textures
60,success,Background Textures
70,success,Background Textures
48,success,Background Textures
79,success,Background Textures
65,success,Background Textures
78,success,Background Textures
68,success,Background Textures
56,success,Background Textures
87,success,Background Textures
73,success,Background Textures
86,success,Background Textures
76,success,Background Textures
64,success,Background Textures
81,success,Background Textures
95,success,Background Textures
72,success,Background Textures
94,success,Background Textures
92,success,Background Textures
89,success,Background Textures
103,success,Background Textures
80,success,Background Textures
102,success,Background Textures
100,success,Background Textures
97,success,Background Textures
111,success,Background Textures
108,success,Background Textures
88,success,Background Textures
105,success,Background Textures
119,success,Background Textures
118,success,Background Textures
113,success,Background Textures
126,success,Background Textures
127,success,Background Textures
116,success,Background Textures
104,success,Background Textures
121,success,Background Textures
135,success,Background Textures
124,success,Background Textures
134,success,Background Textures
112,success,Background Textures
129,success,Background Textures
142,success,Background Textures
120,success,Background Textures
140,success,Background Textures
145,success,Background Textures
159,success,Background Textures
148,success,Background Textures
128,success,Background Textures
167,success,Background Textures
153,success,Background Textures
158,success,Background Textures
175,success,Background Textures
136,success,Background Textures
156,success,Background Textures
161,success,Background Textures
166,fail,Background Textures
183,success,Background Textures
164,success,Background Textures
169,success,Background Textures
152,success,Background Textures
174,success,Background Textures
191,success,Background Textures
172,success,Background Textures
160,success,Background Textures
177,success,Background Textures
182,success,Background Textures
199,success,Background Textures
180,success,Background Textures
185,success,Background Textures
190,success,Background Textures
207,success,Background Textures
184,success,Background Textures
188,success,Background Textures
193,success,Background Textures
215,success,Background Textures
206,success,Background Textures
196,success,Background Textures
192,success,Background Textures
201,success,Background Textures
223,success,Background Textures
214,success,Background Textures
200,success,Background Textures
209,success,Background Textures
231,success,Background Textures
220,success,Background Textures
230,success,Background Textures
208,success,Background Textures
217,success,Background Textures
239,success,Background Textures
236,success,Background Textures
225,success,Background Textures
232,success,Background Textures
238,success,Background Textures
247,success,Background Textures
255,success,Robot Initial States
233,success,Background Textures
246,success,Background Textures
244,success,Background Textures
240,success,Background Textures
252,success,Robot Initial States
241,success,Background Textures
254,success,Robot Initial States
248,success,Robot Initial States
263,fail,Robot Initial States
260,success,Robot Initial States
256,success,Robot Initial States
262,fail,Robot Initial States
257,success,Robot Initial States
264,success,Robot Initial States
271,fail,Robot Initial States
265,success,Robot Initial States
284,fail,Robot Initial States
270,fail,Robot Initial States
272,fail,Robot Initial States
292,success,Robot Initial States
279,fail,Robot Initial States
273,fail,Robot Initial States
278,fail,Robot Initial States
300,success,Robot Initial States
287,success,Robot Initial States
286,success,Robot Initial States
288,success,Robot Initial States
281,success,Robot Initial States
294,success,Robot Initial States
308,fail,Robot Initial States
