Task ID,Status,Category
3,success,Background Textures
5,success,Background Textures
2,success,Background Textures
4,success,Background Textures
0,success,Background Textures
1,success,Background Textures
6,success,Background Textures
10,success,Background Textures
7,success,Background Textures
9,success,Background Textures
11,success,Background Textures
8,success,Background Textures
1201,success,Language Instructions
1203,success,Language Instructions
1202,success,Language Instructions
1204,success,Language Instructions
14,success,Background Textures
15,success,Background Textures
13,success,Background Textures
12,success,Background Textures
1207,success,Language Instructions
1208,success,Language Instructions
1205,success,Language Instructions
1206,success,Language Instructions
18,success,Background Textures
19,success,Background Textures
17,success,Background Textures
16,success,Background Textures
1211,success,Language Instructions
1209,success,Language Instructions
1212,success,Language Instructions
1210,success,Language Instructions
1213,success,Language Instructions
1216,success,Language Instructions
1215,success,Language Instructions
1214,success,Language Instructions
22,fail,Background Textures
23,fail,Background Textures
21,fail,Background Textures
20,fail,Background Textures
1217,success,Language Instructions
1218,success,Language Instructions
1220,success,Language Instructions
1219,success,Language Instructions
26,success,Background Textures
27,success,Background Textures
24,success,Background Textures
25,success,Background Textures
1224,success,Language Instructions
1221,success,Language Instructions
1222,success,Language Instructions
1223,success,Language Instructions
30,success,Background Textures
31,success,Background Textures
28,success,Background Textures
29,success,Background Textures
34,success,Background Textures
1227,success,Language Instructions
32,success,Background Textures
35,success,Background Textures
1225,success,Language Instructions
1228,success,Language Instructions
33,success,Background Textures
1226,success,Language Instructions
38,success,Background Textures
1231,success,Language Instructions
37,success,Background Textures
1230,success,Language Instructions
1229,success,Language Instructions
1232,success,Language Instructions
39,success,Background Textures
36,success,Background Textures
42,success,Background Textures
1235,success,Language Instructions
43,success,Background Textures
41,success,Background Textures
40,success,Background Textures
1236,success,Language Instructions
1234,success,Language Instructions
1233,success,Language Instructions
46,success,Background Textures
1239,success,Language Instructions
47,success,Background Textures
44,success,Background Textures
1240,success,Language Instructions
1238,success,Language Instructions
45,success,Background Textures
1237,success,Language Instructions
50,success,Background Textures
1243,success,Language Instructions
51,success,Background Textures
49,success,Background Textures
1241,success,Language Instructions
1242,success,Language Instructions
1244,success,Language Instructions
54,success,Background Textures
55,success,Background Textures
53,success,Background Textures
1245,success,Language Instructions
1246,success,Language Instructions
58,success,Background Textures
48,fail,Background Textures
1248,success,Language Instructions
57,success,Background Textures
59,success,Background Textures
1247,fail,Language Instructions
52,success,Background Textures
1249,success,Language Instructions
1252,success,Language Instructions
63,success,Background Textures
61,success,Background Textures
1251,success,Language Instructions
56,success,Background Textures
1250,fail,Language Instructions
62,fail,Background Textures
65,success,Background Textures
67,success,Background Textures
1256,success,Language Instructions
60,success,Background Textures
1255,success,Language Instructions
69,success,Background Textures
1253,fail,Language Instructions
66,success,Background Textures
1254,success,Language Instructions
71,success,Background Textures
64,success,Background Textures
73,success,Background Textures
70,success,Background Textures
1257,success,Language Instructions
75,success,Background Textures
68,success,Background Textures
1260,fail,Language Instructions
74,success,Background Textures
1259,fail,Language Instructions
77,success,Background Textures
1261,success,Language Instructions
